a1c2ae9 | 2026-02-06 17:07:37 +0800 | 场景检索功能
62a4538 | 2026-02-06 17:06:53 +0800 | 新增场景检索功能，并删除场景的plan_text字段
303c592 | 2026-02-02 14:49:10 +0800 | update scene 加上了type 字段
d015ad2 | 2026-02-02 13:49:29 +0800 | 术语解释节点
7f450bc | 2026-01-30 11:17:22 +0800 | scene
7bf3af1 | 2026-01-29 15:07:41 +0800 | 场景匹配
497fef1 | 2026-01-27 09:23:18 +0800 | intent_classifier_node
3faccd3 | 2026-01-22 13:43:02 +0800 | catalog_id
44aa717 | 2026-01-20 16:51:01 +0800 | 结果集数据展示
f445730 | 2026-01-16 17:21:14 +0800 | 拼接用户提示词
fb5cf91 | 2026-01-15 17:07:59 +0800 | 强化生成SQL提示词，主要针对“支付ID”这种情况
1015840 | 2026-01-14 14:40:33 +0800 | 修改SQL生成涉及到经纬度的提示词
74c1598 | 2026-01-13 09:53:49 +0800 | 修复resume函数执行时state覆盖的问题
2986f06 | 2025-12-30 15:26:02 +0800 | langgraph flow
5a77fb6 | 2025-12-24 09:58:51 +0800 | summary
f4f7ba7 | 2025-12-09 14:12:47 +0800 | restore
aae6a0a | 2025-12-08 15:40:10 +0800 | scene_service
cd9bdd8 | 2025-11-26 11:07:21 +0800 | git models
d3fe04d | 2025-11-05 17:28:14 +0800 | gen
eb6eb5f | 2025-11-05 16:07:23 +0800 | gen_sql
639767b | 2025-11-05 10:46:24 +0800 | 存储中间步骤结果
097423a | 2025-11-03 15:46:16 +0800 | 拆分子图
88e98b1 | 2025-10-14 11:28:20 +0800 | @数据集组件
332be1c | 2025-09-28 14:04:47 +0800 | merge origin/main, resolve term_explain node conflict
cea0460 | 2025-09-26 13:51:55 +0800 | term_translate
0424bda | 2025-09-24 11:14:00 +0800 | 语义解释
fe642b0 | 2025-09-24 11:13:16 +0800 | Merge branch 'master' of http://10.10.10.5:7990/scm/bfi/bfi-qa-server
e45a8fd | 2025-09-24 11:12:18 +0800 | 语义解释
eb542e2 | 2025-09-05 13:51:47 +0800 | 将会话相关的接口设置为异步
ef4c326 | 2025-09-04 09:32:09 +0800 | 整理目录结构
7f3f692 | 2025-09-03 15:01:51 +0800 | 拆分 main.py
a201a85 | 2025-09-03 14:37:05 +0800 | 更新 fastapi 的生命周期事件处理器
1a9623a | 2025-09-01 09:59:33 +0800 | 抽离公共配置
